,ID,label,label_pos,label_align,x,y,dir
1,solar,Solar,left,,-2,battery+2,right
2,wind_energy,Wind Energy,left,,solar,solar-1.5,right
3,generator,Generator,left,,solar,battery-1,right
4,battery,housebatteries,below,left,3,0,right
5,re_export,Re-export,above,left,battery,solar,right
6,housebattery,house\nbattery,below,right,battery+3,battery-2,right
7,energy,Energetic use,above,left,battery+5,battery-0.7,right
8,pool,Pool Heatng,right,,housebattery+2,housebattery-1.5,stock
9,short,Elec Test Bench,above,left,pool,housebattery+0.2,right
10,.meat,,none,,short-0.5,energy-0.2,right
11,eol,Waste,below,,pool+2,housebattery,right
12,.R1,,right,,eol+1.5,pool,down
13,waste,Losses,right,,eol+2,energy,right
14,export,Export,right,,waste,re_export,right
15,R2,Recycling,below,left,housebattery,pool-2,left
16,.R3,,none,,battery-1.5,housebattery,up
