"ID" "label" "label_pos" "label_align" "x" "y" "dir"
"1" "import" "Import (ex waste)" "left" "" "-2" "process+2" "right"
"2" "imp_waste" "Import (waste)" "left" "" "import" "import-1.5" "right"
"3" "extract" "Domestic extraction" "left" "" "import" "process-1" "right"
"4" "process" "Materials\nprocessed" "below" "left" "3" "0" "right"
"5" "re_export" "Re-export" "above" "left" "process" "import" "right"
"6" "material" "Material use" "below" "right" "process+3" "process-2" "right"
"7" "energy" "Energetic use" "above" "left" "process+5" "process-0.7" "right"
"8" "stock" "Stocks" "right" "" "material+2" "material-1.5" "stock"
"9" "short" "Short-lived products" "above" "left" "stock" "material+0.2" "right"
"10" ".meat" "" "none" "" "short-0.5" "energy-0.2" "right"
"11" "eol" "Waste" "below" "" "stock+2" "material" "right"
"12" ".R1" "" "right" "" "eol+1.5" "stock" "down"
"13" "waste" "Losses" "right" "" "eol+2" "energy" "right"
"14" "export" "Export" "right" "" "waste" "re_export" "right"
"15" "R2" "Recycling" "below" "left" "material" "stock-2" "left"
"16" ".R3" "" "none" "" "process-1.5" "material" "up"
