country,dataset-qty-keyword,dataset-qty-country,jnap-status,population,gov-exp-per-student,literacy-rate,mobile-access,patent-applications-non-residents,tech-coop-grants
american samoa,1081,335,,55310,,97,4,,
australia,2903,,,22751014,15,,111,27200,
cook islands,2134,,released,,,,,,
federated states of micronesia,,417,,113810,,,,,
fiji,3490,772,stalled,909389,5.7,99,118,17,46390
indonesia,907,,,255993674,10.5,96,127,8347,361850
kiribati,,,in work,105711,,,46,2,21270
Marshall Islands,1807,410,under review,72191,27.8,98,28,,3460
micronesia,2006,16,,,,,21,,5210
nauru,,,under review,12580,,,95,,7810
new zealand,2273,,,4438393,21.1,,135,5221,
niue,1692,344,not endorsed,,,,,,
palau,1853,296,alternative,18010,,97,134,,2680
PNG,2254,657,,8776110,,62,48,46,306960
samoa,3099,380,,197100,13,99,64,3,28080
solomon islands,,,alternative,669820,,77,71,2,39930
Tonga,2470,592,released,104490,7.5,99,59,1,17270
Tuvalu,2018,570,,11650,,,70,,6380
Vanuatu,2356,662,alternative,299880,21,88,88,,30280
Vietnam,244,,,96462110,,95,141,5425,266160
Pacific Island Small States,,,,,,91,87,27,
